Date,Open,High,Low,Close,Adj Close,Volume
4/2/2012,55.494999,57.165001,55.16,56.674999,49.049557,3899200
4/3/2012,56.314999,56.849998,56.084999,56.779999,49.140419,4647400
4/4/2012,56.029999,56.195,54.849998,55.259998,47.824936,3127600
4/5/2012,55.060001,55.735001,54.424999,54.59,47.245087,4629800
4/9/2012,53.474998,54.014999,53.305,53.720001,46.49213,5445200
4/10/2012,53.720001,53.860001,51.904999,52,45.003571,6604200
4/11/2012,52.59,52.759998,51.255001,51.474998,44.549187,6017200
4/12/2012,51.5,52.825001,51.470001,52.610001,45.606792,6345200
4/13/2012,52.365002,52.650002,51.549999,51.665001,44.78759,3018600
4/16/2012,51.93,52.560001,50.915001,51.384998,44.544861,3074000
4/17/2012,51.959999,52.654999,51.764999,52.400002,45.424751,4108400
4/18/2012,52.195,52.490002,51.785,52.084999,45.151669,3813400
4/19/2012,52.150002,52.645,51.654999,51.98,45.060654,3121600
4/20/2012,52.445,52.75,51.395,51.514999,44.657547,3376600
4/23/2012,50.305,51.884998,50.294998,51.799999,44.904617,3771600
4/24/2012,52.055,52.465,51.700001,52.224998,45.273037,4512400
4/25/2012,52.689999,53.255001,52.294998,53.215,46.131256,5718200
4/26/2012,53.209999,54.439999,53.005001,54.259998,47.037148,4686400
4/27/2012,54.505001,54.619999,54.049999,54.509998,47.253872,4275000
4/30/2012,54.439999,54.970001,53.919998,54.904999,47.596302,3000800
5/1/2012,55.150002,56.119999,54.900002,55.615002,48.211784,3552800
5/2/2012,54.950001,54.950001,54.110001,54.639999,47.36657,4145600
5/3/2012,54.5,54.970001,53.610001,53.855,46.686062,3882200
5/4/2012,53.200001,53.599998,52.189999,52.645,45.637138,4330600
5/7/2012,52.235001,52.924999,51.645,52.384998,45.411747,3265000
5/8/2012,51.810001,52.095001,50.205002,51.994999,45.07365,4339600
5/9/2012,51.904999,52.84,50.380001,52.549999,45.554783,7535400
5/10/2012,53.369999,53.665001,52.755001,53.255001,46.165936,5334600
5/11/2012,52.740002,53.275002,51.955002,52.115002,45.177685,4469800
5/14/2012,51.450001,51.450001,50.439999,50.52,43.795006,3667400
5/15/2012,50.494999,50.849998,49.32,49.605,43.001797,3836800
5/16/2012,49.830002,50.799999,49.275002,49.474998,42.889103,3981400
5/17/2012,49.455002,49.66,48.580002,48.669998,42.191261,3874400
5/18/2012,48.945,49.310001,47.889999,48.154999,41.74482,4443200
5/21/2012,48.665001,50.130001,48.645,50.099998,43.430904,4474000
5/22/2012,50.794998,51.735001,50.235001,50.665001,43.920712,5602000
5/23/2012,50.145,50.895,48.889999,50.849998,44.08107,5439800
5/24/2012,51,51.195,49.57,50.395,43.686634,3806200
